,Country,Item,Year,Value
0,Algeria,Wheat and products,2004,2731
1,Algeria,Wheat and products,2005,2415
2,Algeria,Wheat and products,2006,2688
3,Algeria,Wheat and products,2007,2319
4,Algeria,Wheat and products,2008,1111
5,Algeria,Wheat and products,2009,2953
6,Algeria,Wheat and products,2010,2605
7,Algeria,Wheat and products,2011,2555
8,Algeria,Wheat and products,2012,3432
9,Algeria,Wheat and products,2013,3299
10,Algeria,Rice (Milled Equivalent),2004,0
11,Algeria,Rice (Milled Equivalent),2005,0
12,Algeria,Rice (Milled Equivalent),2006,0
13,Algeria,Rice (Milled Equivalent),2007,0
14,Algeria,Rice (Milled Equivalent),2008,0
15,Algeria,Rice (Milled Equivalent),2009,0
16,Algeria,Rice (Milled Equivalent),2010,0
17,Algeria,Rice (Milled Equivalent),2011,0
18,Algeria,Rice (Milled Equivalent),2012,0
19,Algeria,Rice (Milled Equivalent),2013,0
20,Algeria,Barley and products,2004,1212
21,Algeria,Barley and products,2005,1033
22,Algeria,Barley and products,2006,1236
23,Algeria,Barley and products,2007,1187
24,Algeria,Barley and products,2008,396
25,Algeria,Barley and products,2009,2203
26,Algeria,Barley and products,2010,1308
27,Algeria,Barley and products,2011,1104
28,Algeria,Barley and products,2012,1592
29,Algeria,Barley and products,2013,1499
30,Algeria,Maize and products,2004,1
31,Algeria,Maize and products,2005,1
32,Algeria,Maize and products,2006,2
33,Algeria,Maize and products,2007,2
34,Algeria,Maize and products,2008,1
35,Algeria,Maize and products,2009,1
36,Algeria,Maize and products,2010,0
37,Algeria,Maize and products,2011,1
38,Algeria,Maize and products,2012,2
39,Algeria,Maize and products,2013,1
40,Algeria,Oats,2004,89
41,Algeria,Oats,2005,78
42,Algeria,Oats,2006,89
43,Algeria,Oats,2007,92
44,Algeria,Oats,2008,27
45,Algeria,Oats,2009,96
46,Algeria,Oats,2010,88
47,Algeria,Oats,2011,67
48,Algeria,Oats,2012,110
49,Algeria,Oats,2013,113
50,Algeria,Sorghum and products,2004,1
51,Algeria,Sorghum and products,2005,1
52,Algeria,Sorghum and products,2006,2
53,Algeria,Sorghum and products,2007,2
54,Algeria,Sorghum and products,2008,1
55,Algeria,Sorghum and products,2009,0
56,Algeria,Sorghum and products,2010,0
57,Algeria,Sorghum and products,2011,1
58,Algeria,Sorghum and products,2012,2
59,Algeria,Sorghum and products,2013,2
60,Algeria,"Cereals, Other",2004,0
61,Algeria,"Cereals, Other",2005,0
62,Algeria,"Cereals, Other",2006,0
63,Algeria,"Cereals, Other",2007,0
64,Algeria,"Cereals, Other",2008,0
65,Algeria,"Cereals, Other",2009,0
66,Algeria,"Cereals, Other",2010,0
67,Algeria,"Cereals, Other",2011,0
68,Algeria,"Cereals, Other",2012,0
69,Algeria,"Cereals, Other",2013,0
70,Algeria,Potatoes and products,2004,1896
71,Algeria,Potatoes and products,2005,2157
72,Algeria,Potatoes and products,2006,2181
73,Algeria,Potatoes and products,2007,1507
74,Algeria,Potatoes and products,2008,2171
75,Algeria,Potatoes and products,2009,2636
76,Algeria,Potatoes and products,2010,3300
77,Algeria,Potatoes and products,2011,3862
78,Algeria,Potatoes and products,2012,4219
79,Algeria,Potatoes and products,2013,4928
80,Algeria,Sugar beet,2004,0
81,Algeria,Sugar beet,2005,0
82,Algeria,Sugar beet,2006,0
83,Algeria,Sugar beet,2007,0
84,Algeria,Sugar beet,2008,0
85,Algeria,Sugar beet,2009,0
86,Algeria,Sugar beet,2010,0
87,Algeria,Sugar beet,2011,0
88,Algeria,Sugar beet,2012,0
89,Algeria,Sugar beet,2013,0
90,Algeria,Sugar (Raw Equivalent),2004,0
91,Algeria,Sugar (Raw Equivalent),2005,0
92,Algeria,Sugar (Raw Equivalent),2006,0
93,Algeria,Sugar (Raw Equivalent),2007,0
94,Algeria,Sugar (Raw Equivalent),2008,0
95,Algeria,Sugar (Raw Equivalent),2009,0
96,Algeria,Sugar (Raw Equivalent),2010,0
97,Algeria,Sugar (Raw Equivalent),2011,0
98,Algeria,Sugar (Raw Equivalent),2012,0
99,Algeria,Sugar (Raw Equivalent),2013,0
100,Algeria,Honey,2004,3
101,Algeria,Honey,2005,3
102,Algeria,Honey,2006,3
103,Algeria,Honey,2007,3
104,Algeria,Honey,2008,3
105,Algeria,Honey,2009,3
106,Algeria,Honey,2010,5
107,Algeria,Honey,2011,5
108,Algeria,Honey,2012,5
109,Algeria,Honey,2013,6
110,Algeria,Beans,2004,2
111,Algeria,Beans,2005,1
112,Algeria,Beans,2006,1
113,Algeria,Beans,2007,1
114,Algeria,Beans,2008,1
115,Algeria,Beans,2009,1
116,Algeria,Beans,2010,1
117,Algeria,Beans,2011,1
118,Algeria,Beans,2012,1
119,Algeria,Beans,2013,1
120,Algeria,Peas,2004,7
121,Algeria,Peas,2005,5
122,Algeria,Peas,2006,5
123,Algeria,Peas,2007,6
124,Algeria,Peas,2008,4
125,Algeria,Peas,2009,6
126,Algeria,Peas,2010,7
127,Algeria,Peas,2011,7
128,Algeria,Peas,2012,9
129,Algeria,Peas,2013,11
130,Algeria,"Pulses, Other and products",2004,49
131,Algeria,"Pulses, Other and products",2005,41
132,Algeria,"Pulses, Other and products",2006,38
133,Algeria,"Pulses, Other and products",2007,43
134,Algeria,"Pulses, Other and products",2008,36
135,Algeria,"Pulses, Other and products",2009,57
136,Algeria,"Pulses, Other and products",2010,65
137,Algeria,"Pulses, Other and products",2011,71
138,Algeria,"Pulses, Other and products",2012,74
139,Algeria,"Pulses, Other and products",2013,84
140,Algeria,Nuts and products,2004,38
141,Algeria,Nuts and products,2005,45
142,Algeria,Nuts and products,2006,54
143,Algeria,Nuts and products,2007,34
144,Algeria,Nuts and products,2008,40
145,Algeria,Nuts and products,2009,47
146,Algeria,Nuts and products,2010,57
