Country,Value
Nigeria,1628030
Egypt,877498
South Africa,579592
Ethiopia,350693
United Republic of Tanzania,332802
Sudan,301584
Ghana,295004
Uganda,278421
Morocco,271821
Kenya,256872
Cameroon,197670
Angola,195499
Algeria,188650
Cote d'Ivoire,182486
Mozambique,157584
Malawi,153717
Madagascar,133071
Burkina Faso,100129
Rwanda,95174
Tunisia,92713
Mali,92292
Benin,88072
Niger,86808
Zambia,82701
Zimbabwe,73316
Guinea,66848
Swaziland,62665
Mauritius,51785
Senegal,49414
Sierra Leone,47737
Chad,45078
Togo,32155
Congo,25791
Central African Republic,24921
Liberia,14657
Namibia,14197
Gabon,13566
Mauritania,10039
Guinea-Bissau,7296
Botswana,4808
Gambia,4699
Lesotho,3785
Cabo Verde,1658
Sao Tome and Principe,1152
Djibouti,666
