Country,Production,Consumption
Algeria,15536,2987
Algeria,15536,2958
Algeria,15536,3047
Algeria,15536,3041
Algeria,15536,3048
Algeria,15536,3110
Algeria,15536,3142
Algeria,15536,3217
Algeria,15536,3272
Algeria,15536,3296
Algeria,15667,2987
Algeria,15667,2958
Algeria,15667,3047
Algeria,15667,3041
Algeria,15667,3048
Algeria,15667,3110
Algeria,15667,3142
Algeria,15667,3217
Algeria,15667,3272
Algeria,15667,3296
Algeria,16417,2987
Algeria,16417,2958
Algeria,16417,3047
Algeria,16417,3041
Algeria,16417,3048
Algeria,16417,3110
Algeria,16417,3142
Algeria,16417,3217
Algeria,16417,3272
Algeria,16417,3296
Algeria,14763,2987
Algeria,14763,2958
Algeria,14763,3047
Algeria,14763,3041
Algeria,14763,3048
Algeria,14763,3110
Algeria,14763,3142
Algeria,14763,3217
Algeria,14763,3272
Algeria,14763,3296
Algeria,13841,2987
Algeria,13841,2958
Algeria,13841,3047
Algeria,13841,3041
Algeria,13841,3048
Algeria,13841,3110
Algeria,13841,3142
Algeria,13841,3217
Algeria,13841,3272
Algeria,13841,3296
Algeria,19820,2987
Algeria,19820,2958
Algeria,19820,3047
Algeria,19820,3041
Algeria,19820,3048
Algeria,19820,3110
Algeria,19820,3142
Algeria,19820,3217
Algeria,19820,3272
Algeria,19820,3296
Algeria,20263,2987
Algeria,20263,2958
Algeria,20263,3047
Algeria,20263,3041
Algeria,20263,3048
Algeria,20263,3110
Algeria,20263,3142
Algeria,20263,3217
Algeria,20263,3272
Algeria,20263,3296
Algeria,21778,2987
Algeria,21778,2958
Algeria,21778,3047
Algeria,21778,3041
Algeria,21778,3048
Algeria,21778,3110
Algeria,21778,3142
Algeria,21778,3217
Algeria,21778,3272
Algeria,21778,3296
Algeria,24206,2987
Algeria,24206,2958
Algeria,24206,3047
Algeria,24206,3041
Algeria,24206,3048
Algeria,24206,3110
Algeria,24206,3142
Algeria,24206,3217
Algeria,24206,3272
Algeria,24206,3296
Algeria,26359,2987
Algeria,26359,2958
Algeria,26359,3047
Algeria,26359,3041
Algeria,26359,3048
Algeria,26359,3110
Algeria,26359,3142
Algeria,26359,3217
Algeria,26359,3272
Algeria,26359,3296
Angola,13028,2030
Angola,13028,2077
Angola,13028,2119
Angola,13028,2173
Angola,13028,2245
Angola,13028,2303
Angola,13028,2345
Angola,13028,2407
Angola,13028,2384
Angola,13028,2473
Angola,13811,2030
Angola,13811,2077
Angola,13811,2119
Angola,13811,2173
Angola,13811,2245
Angola,13811,2303
Angola,13811,2345
Angola,13811,2407
Angola,13811,2384
Angola,13811,2473
Angola,14264,2030
Angola,14264,2077
Angola,14264,2119
Angola,14264,2173
Angola,14264,2245
Angola,14264,2303
Angola,14264,2345
Angola,14264,2407
Angola,14264,2384
Angola,14264,2473
Angola,16025,2030
Angola,16025,2077
Angola,16025,2119
Angola,16025,2173
Angola,16025,2245
Angola,16025,2303
Angola,16025,2345
Angola,16025,2407
Angola,16025,2384
Angola,16025,2473
Angola,17288,2030
Angola,17288,2077
Angola,17288,2119
Angola,17288,2173
Angola,17288,2245
Angola,17288,2303
Angola,17288,2345
Angola,17288,2407
Angola,17288,2384
Angola,17288,2473
Angola,22244,2030
Angola,22244,2077
Angola,22244,2119
Angola,22244,2173
Angola,22244,2245
Angola,22244,2303
Angola,22244,2345
Angola,22244,2407
Angola,22244,2384
Angola,22244,2473
Angola,23805,2030
Angola,23805,2077
Angola,23805,2119
Angola,23805,2173
Angola,23805,2245
Angola,23805,2303
Angola,23805,2345
Angola,23805,2407
Angola,23805,2384
Angola,23805,2473
Angola,25672,2030
Angola,25672,2077
Angola,25672,2119
Angola,25672,2173
Angola,25672,2245
Angola,25672,2303
Angola,25672,2345
Angola,25672,2407
