,Year,Value_x,Consumption
0,2004,15536,2987
1,2004,15536,2030
2,2004,15536,2461
3,2004,15536,2191
4,2004,15536,2505
5,2004,15536,2523
6,2004,15536,2246
7,2004,15536,1989
8,2004,15536,2026
9,2004,15536,2263
10,2004,15536,2738
11,2004,15536,2136
12,2004,15536,3309
13,2004,15536,1882
14,2004,15536,2676
15,2004,15536,2465
16,2004,15536,2682
17,2004,15536,2426
18,2004,15536,2257
19,2004,15536,2022
20,2004,15536,2541
21,2004,15536,2092
22,2004,15536,1980
23,2004,15536,2166
24,2004,15536,2540
25,2004,15536,2599
26,2004,15536,3023
27,2004,15536,3263
28,2004,15536,2059
29,2004,15536,2268
30,2004,15536,2453
31,2004,15536,2655
32,2004,15536,1969
33,2004,15536,2513
34,2004,15536,2248
35,2004,15536,2024
36,2004,15536,2940
37,2004,15536,2271
38,2004,15536,2469
39,2004,15536,2246
40,2004,15536,3248
41,2004,15536,2351
42,2004,15536,2098
43,2004,15536,1866
44,2004,15536,2044
45,2005,15667,2958
46,2005,15667,2077
47,2005,15667,2435
48,2005,15667,2198
49,2005,15667,2463
50,2005,15667,2517
51,2005,15667,2311
52,2005,15667,2026
53,2005,15667,2034
54,2005,15667,2043
55,2005,15667,2787
56,2005,15667,2265
57,2005,15667,3367
58,2005,15667,1978
59,2005,15667,2715
60,2005,15667,2442
61,2005,15667,2751
62,2005,15667,2443
63,2005,15667,2273
64,2005,15667,2161
65,2005,15667,2567
66,2005,15667,2160
67,2005,15667,2060
68,2005,15667,2191
69,2005,15667,2583
70,2005,15667,2629
71,2005,15667,3009
72,2005,15667,3206
73,2005,15667,2038
74,2005,15667,2243
75,2005,15667,2444
76,2005,15667,2705
77,2005,15667,2037
78,2005,15667,2546
79,2005,15667,2237
80,2005,15667,2082
81,2005,15667,2952
82,2005,15667,2296
83,2005,15667,2372
84,2005,15667,2238
85,2005,15667,3220
86,2005,15667,2327
87,2005,15667,2134
88,2005,15667,1873
89,2005,15667,2025
90,2006,16417,3047
91,2006,16417,2119
92,2006,16417,2450
93,2006,16417,2150
94,2006,16417,2559
95,2006,16417,2513
96,2006,16417,2354
97,2006,16417,2029
98,2006,16417,2022
99,2006,16417,2143
100,2006,16417,2783
101,2006,16417,2314
102,2006,16417,3389
103,2006,16417,1967
104,2006,16417,2716
105,2006,16417,2397
106,2006,16417,2824
107,2006,16417,2503
108,2006,16417,2253
109,2006,16417,2161
110,2006,16417,2595
111,2006,16417,2116
112,2006,16417,2083
113,2006,16417,2269
114,2006,16417,2654
115,2006,16417,2603
116,2006,16417,3022
117,2006,16417,3271
118,2006,16417,2111
119,2006,16417,2230
120,2006,16417,2442
121,2006,16417,2725
122,2006,16417,2044
123,2006,16417,2554
124,2006,16417,2310
125,2006,16417,2155
126,2006,16417,2927
127,2006,16417,2331
128,2006,16417,2325
129,2006,16417,2283
130,2006,16417,3273
131,2006,16417,2276
132,2006,16417,2141
133,2006,16417,1838
134,2006,16417,2115
135,2007,14763,3041
136,2007,14763,2173
137,2007,14763,2564
138,2007,14763,2166
139,2007,14763,2546
140,2007,14763,2574
141,2007,14763,2378
142,2007,14763,2090
143,2007,14763,2028
144,2007,14763,2135
145,2007,14763,2792
146,2007,14763,2414
147,2007,14763,3445
148,2007,14763,1957
149,2007,14763,2711
150,2007,14763,2535
151,2007,14763,2803
152,2007,14763,2505
153,2007,14763,2293
154,2007,14763,2110
155,2007,14763,2560
156,2007,14763,2145
157,2007,14763,2096
158,2007,14763,2293
159,2007,14763,2722
160,2007,14763,2726
161,2007,14763,3076
162,2007,14763,3251
163,2007,14763,2083
164,2007,14763,2218
165,2007,14763,2461
166,2007,14763,2720
167,2007,14763,2053
168,2007,14763,2511
169,2007,14763,2342
170,2007,14763,2194
171,2007,14763,2920
172,2007,14763,2344
173,2007,14763,2310
174,2007,14763,2295
175,2007,14763,3252
176,2007,14763,2212
177,2007,14763,2215
178,2007,14763,1781
179,2007,14763,2109
180,2008,13841,3048
181,2008,13841,2245
182,2008,13841,2521
183,2008,13841,2184
184,2008,13841,2588
185,2008,13841,2540
186,2008,13841,2446
187,2008,13841,2133
188,2008,13841,2027
189,2008,13841,2110
190,2008,13841,2739
191,2008,13841,2447
192,2008,13841,3490
193,2008,13841,2018
194,2008,13841,2653
195,2008,13841,2589
196,2008,13841,2950
197,2008,13841,2534
198,2008,13841,2304
199,2008,13841,2106
200,2008,13841,2558
201,2008,13841,2227
202,2008,13841,2061
203,2008,13841,2318
204,2008,13841,2777
205,2008,13841,2772
206,2008,13841,3001
207,2008,13841,3271
208,2008,13841,2164
209,2008,13841,2120
210,2008,13841,2520
211,2008,13841,2723
212,2008,13841,2101
213,2008,13841,2466
214,2008,13841,2439
215,2008,13841,2197
216,2008,13841,2924
217,2008,13841,2344
218,2008,13841,2257
219,2008,13841,2316
220,2008,13841,3302
221,2008,13841,2177
222,2008,13841,2132
223,2008,13841,1801
224,2008,13841,2094
225,2009,19820,3110
226,2009,19820,2303
227,2009,19820,2565
228,2009,19820,2199
229,2009,19820,2639
230,2009,19820,2558
231,2009,19820,2492
232,2009,19820,2139
233,2009,19820,2021
234,2009,19820,2142
235,2009,19820,2727
236,2009,19820,2466
237,2009,19820,3441
238,2009,19820,2052
239,2009,19820,2699
240,2009,19820,2621
241,2009,19820,3032
242,2009,19820,2546
243,2009,19820,2278
244,2009,19820,2165
245,2009,19820,2569
246,2009,19820,2231
247,2009,19820,2065
248,2009,19820,2311
249,2009,19820,2831
250,2009,19820,2762
251,2009,19820,3124
252,2009,19820,3293
253,2009,19820,2165
254,2009,19820,2062
255,2009,19820,2523
256,2009,19820,2683
257,2009,19820,2196
258,2009,19820,2435
259,2009,19820,2446
260,2009,19820,2251
261,2009,19820,2936
262,2009,19820,2346
263,2009,19820,2249
264,2009,19820,2340
265,2009,19820,3335
266,2009,19820,2194
267,2009,19820,2133
268,2009,19820,1878
269,2009,19820,2147
270,2010,20263,3142
271,2010,20263,2345
272,2010,20263,2555
273,2010,20263,2234
274,2010,20263,2681
275,2010,20263,2524
276,2010,20263,2510
277,2010,20263,2164
278,2010,20263,2057
279,2010,20263,2143
280,2010,20263,2737
281,2010,20263,2467
282,2010,20263,3507
283,2010,20263,2080
284,2010,20263,2732
285,2010,20263,2674
286,2010,20263,3077
287,2010,20263,2550
288,2010,20263,2346
289,2010,20263,2160
290,2010,20263,2572
291,2010,20263,2198
292,2010,20263,2068
293,2010,20263,2329
294,2010,20263,2813
295,2010,20263,2797
296,2010,20263,3151
297,2010,20263,3294
298,2010,20263,2242
299,2010,20263,2055
300,2010,20263,2533
301,2010,20263,2706
302,2010,20263,2198
303,2010,20263,2368
304,2010,20263,2435
305,2010,20263,2275
306,2010,20263,2992
307,2010,20263,2323
308,2010,20263,2284
309,2010,20263,2370
310,2010,20263,3326
311,2010,20263,2200
312,2010,20263,2097
313,2010,20263,1904
314,2010,20263,2168
315,2011,21778,3217
316,2011,21778,2407
317,2011,21778,2598
318,2011,21778,2273
319,2011,21778,2664
320,2011,21778,2566
321,2011,21778,2573
322,2011,21778,2154
323,2011,21778,2062
324,2011,21778,2185
325,2011,21778,2784
326,2011,21778,2504
327,2011,21778,3549
328,2011,21778,2103
329,2011,21778,2772
330,2011,21778,2692
331,2011,21778,3002
332,2011,21778,2546
333,2011,21778,2336
334,2011,21778,2170
335,2011,21778,2550
336,2011,21778,2254
337,2011,21778,2085
338,2011,21778,2348
339,2011,21778,2832
340,2011,21778,2806
341,2011,21778,3058
342,2011,21778,3349
343,2011,21778,2259
344,2011,21778,2090
345,2011,21778,2534
346,2011,21778,2706
347,2011,21778,2213
348,2011,21778,2331
349,2011,21778,2428
350,2011,21778,2335
351,2011,21778,3002
352,2011,21778,2346
353,2011,21778,2283
354,2011,21778,2383
355,2011,21778,3360
356,2011,21778,2178
357,2011,21778,2200
358,2011,21778,1907
359,2011,21778,2200
360,2012,24206,3272
361,2012,24206,2384
362,2012,24206,2610
363,2012,24206,2342
364,2012,24206,2707
365,2012,24206,2590
366,2012,24206,2622
367,2012,24206,2116
368,2012,24206,2124
369,2012,24206,2158
370,2012,24206,2780
371,2012,24206,2545
372,2012,24206,3561
373,2012,24206,2124
374,2012,24206,2795
375,2012,24206,2652
376,2012,24206,3043
377,2012,24206,2561
378,2012,24206,2331
379,2012,24206,2192
380,2012,24206,2547
381,2012,24206,2200
382,2012,24206,2058
383,2012,24206,2333
384,2012,24206,2860
385,2012,24206,2873
386,2012,24206,3014
387,2012,24206,3366
388,2012,24206,2298
389,2012,24206,2145
390,2012,24206,2567
391,2012,24206,2665
392,2012,24206,2270
393,2012,24206,2338
394,2012,24206,2443
395,2012,24206,2374
396,2012,24206,3014
397,2012,24206,2301
398,2012,24206,2293
399,2012,24206,2414
400,2012,24206,3390
401,2012,24206,2160
402,2012,24206,2192
403,2012,24206,1923
404,2012,24206,2197
405,2013,26359,3296
406,2013,26359,2473
407,2013,26359,2619
408,2013,26359,2326
409,2013,26359,2720
410,2013,26359,2609
411,2013,26359,2671
412,2013,26359,1879
413,2013,26359,2110
414,2013,26359,2208
415,2013,26359,2799
416,2013,26359,2607
417,2013,26359,3522
418,2013,26359,2131
419,2013,26359,2830
420,2013,26359,2628
421,2013,26359,3016
422,2013,26359,2566
423,2013,26359,2292
424,2013,26359,2206
425,2013,26359,2529
426,2013,26359,2204
427,2013,26359,2052
428,2013,26359,2367
429,2013,26359,2890
430,2013,26359,2876
431,2013,26359,3065
432,2013,26359,3403
433,2013,26359,2283
434,2013,26359,2171
435,2013,26359,2547
436,2013,26359,2700
437,2013,26359,2228
438,2013,26359,2400
439,2013,26359,2456
440,2013,26359,2404
441,2013,26359,3022
442,2013,26359,2336
443,2013,26359,2329
444,2013,26359,2454
445,2013,26359,3349
446,2013,26359,2130
447,2013,26359,2208
448,2013,26359,1930
449,2013,26359,2110
450,2004,13028,2987
451,2004,13028,2030
452,2004,13028,2461
453,2004,13028,2191
454,2004,13028,2505
455,2004,13028,2523
456,2004,13028,2246
457,2004,13028,1989
458,2004,13028,2026
459,2004,13028,2263
460,2004,13028,2738
461,2004,13028,2136
462,2004,13028,3309
463,2004,13028,1882
464,2004,13028,2676
465,2004,13028,2465
466,2004,13028,2682
467,2004,13028,2426
468,2004,13028,2257
469,2004,13028,2022
470,2004,13028,2541
471,2004,13028,2092
472,2004,13028,1980
473,2004,13028,2166
474,2004,13028,2540
475,2004,13028,2599
476,2004,13028,3023
477,2004,13028,3263
478,2004,13028,2059
479,2004,13028,2268
480,2004,13028,2453
481,2004,13028,2655
482,2004,13028,1969
483,2004,13028,2513
484,2004,13028,2248
485,2004,13028,2024
486,2004,13028,2940
487,2004,13028,2271
488,2004,13028,2469
489,2004,13028,2246
490,2004,13028,3248
491,2004,13028,2351
492,2004,13028,2098
493,2004,13028,1866
494,2004,13028,2044
495,2005,13811,2958
496,2005,13811,2077
497,2005,13811,2435
498,2005,13811,2198
499,2005,13811,2463
500,2005,13811,2517
501,2005,13811,2311
502,2005,13811,2026
503,2005,13811,2034
504,2005,13811,2043
505,2005,13811,2787
506,2005,13811,2265
507,2005,13811,3367
508,2005,13811,1978
509,2005,13811,2715
510,2005,13811,2442
511,2005,13811,2751
512,2005,13811,2443
513,2005,13811,2273
514,2005,13811,2161
515,2005,13811,2567
516,2005,13811,2160
517,2005,13811,2060
518,2005,13811,2191
519,2005,13811,2583
520,2005,13811,2629
521,2005,13811,3009
522,2005,13811,3206
523,2005,13811,2038
524,2005,13811,2243
525,2005,13811,2444
526,2005,13811,2705
527,2005,13811,2037
528,2005,13811,2546
529,2005,13811,2237
530,2005,13811,2082
531,2005,13811,2952
532,2005,13811,2296
533,2005,13811,2372
534,2005,13811,2238
535,2005,13811,3220
536,2005,13811,2327
537,2005,13811,2134
538,2005,13811,1873
539,2005,13811,2025
540,2006,14264,3047
541,2006,14264,2119
542,2006,14264,2450
543,2006,14264,2150
544,2006,14264,2559
545,2006,14264,2513
546,2006,14264,2354
547,2006,14264,2029
548,2006,14264,2022
549,2006,14264,2143
550,2006,14264,2783
551,2006,14264,2314
552,2006,14264,3389
553,2006,14264,1967
554,2006,14264,2716
555,2006,14264,2397
556,2006,14264,2824
557,2006,14264,2503
558,2006,14264,2253
559,2006,14264,2161
560,2006,14264,2595
561,2006,14264,2116
562,2006,14264,2083
563,2006,14264,2269
564,2006,14264,2654
565,2006,14264,2603
566,2006,14264,3022
567,2006,14264,3271
568,2006,14264,2111
569,2006,14264,2230
570,2006,14264,2442
571,2006,14264,2725
572,2006,14264,2044
573,2006,14264,2554
574,2006,14264,2310
575,2006,14264,2155
576,2006,14264,2927
577,2006,14264,2331
578,2006,14264,2325
579,2006,14264,2283
580,2006,14264,3273
581,2006,14264,2276
582,2006,14264,2141
583,2006,14264,1838
584,2006,14264,2115
585,2007,16025,3041
586,2007,16025,2173
587,2007,16025,2564
588,2007,16025,2166
589,2007,16025,2546
590,2007,16025,2574
591,2007,16025,2378
592,2007,16025,2090
593,2007,16025,2028
594,2007,16025,2135
595,2007,16025,2792
596,2007,16025,2414
597,2007,16025,3445
598,2007,16025,1957
599,2007,16025,2711
600,2007,16025,2535
601,2007,16025,2803
602,2007,16025,2505
603,2007,16025,2293
604,2007,16025,2110
605,2007,16025,2560
606,2007,16025,2145
607,2007,16025,2096
608,2007,16025,2293
609,2007,16025,2722
610,2007,16025,2726
611,2007,16025,3076
612,2007,16025,3251
613,2007,16025,2083
614,2007,16025,2218
615,2007,16025,2461
616,2007,16025,2720
617,2007,16025,2053
618,2007,16025,2511
619,2007,16025,2342
620,2007,16025,2194
621,2007,16025,2920
622,2007,16025,2344
623,2007,16025,2310
624,2007,16025,2295
625,2007,16025,3252
626,2007,16025,2212
627,2007,16025,2215
628,2007,16025,1781
629,2007,16025,2109
630,2008,17288,3048
631,2008,17288,2245
632,2008,17288,2521
633,2008,17288,2184
634,2008,17288,2588
635,2008,17288,2540
636,2008,17288,2446
637,2008,17288,2133
638,2008,17288,2027
639,2008,17288,2110
640,2008,17288,2739
641,2008,17288,2447
642,2008,17288,3490
643,2008,17288,2018
644,2008,17288,2653
645,2008,17288,2589
646,2008,17288,2950
647,2008,17288,2534
648,2008,17288,2304
649,2008,17288,2106
650,2008,17288,2558
651,2008,17288,2227
652,2008,17288,2061
653,2008,17288,2318
654,2008,17288,2777
655,2008,17288,2772
656,2008,17288,3001
657,2008,17288,3271
658,2008,17288,2164
659,2008,17288,2120
660,2008,17288,2520
661,2008,17288,2723
662,2008,17288,2101
663,2008,17288,2466
664,2008,17288,2439
665,2008,17288,2197
666,2008,17288,2924
667,2008,17288,2344
668,2008,17288,2257
669,2008,17288,2316
670,2008,17288,3302
671,2008,17288,2177
672,2008,17288,2132
673,2008,17288,1801
674,2008,17288,2094
675,2009,22244,3110
676,2009,22244,2303
677,2009,22244,2565
678,2009,22244,2199
679,2009,22244,2639
680,2009,22244,2558
681,2009,22244,2492
682,2009,22244,2139
683,2009,22244,2021
684,2009,22244,2142
685,2009,22244,2727
686,2009,22244,2466
687,2009,22244,3441
688,2009,22244,2052
689,2009,22244,2699
690,2009,22244,2621
691,2009,22244,3032
692,2009,22244,2546
693,2009,22244,2278
694,2009,22244,2165
695,2009,22244,2569
696,2009,22244,2231
697,2009,22244,2065
698,2009,22244,2311
699,2009,22244,2831
700,2009,22244,2762
701,2009,22244,3124
702,2009,22244,3293
703,2009,22244,2165
704,2009,22244,2062
705,2009,22244,2523
706,2009,22244,2683
707,2009,22244,2196
708,2009,22244,2435
709,2009,22244,2446
710,2009,22244,2251
711,2009,22244,2936
712,2009,22244,2346
713,2009,22244,2249
714,2009,22244,2340
715,2009,22244,3335
716,2009,22244,2194
717,2009,22244,2133
718,2009,22244,1878
719,2009,22244,2147
720,2010,23805,3142
721,2010,23805,2345
722,2010,23805,2555
723,2010,23805,2234
724,2010,23805,2681
725,2010,23805,2524
726,2010,23805,2510
727,2010,23805,2164
728,2010,23805,2057
729,2010,23805,2143
730,2010,23805,2737
731,2010,23805,2467
732,2010,23805,3507
733,2010,23805,2080
